Parameter,Importance,model_code
epochs,0.16895312897264067,GRU_LB60_LF1_close_price_target
batch_size,0.05761788720849415,GRU_LB60_LF1_close_price_target
num_layers,0.0005530402848344298,GRU_LB60_LF1_close_price_target
num_layers,0.2707727523228347,GRU_LB60_LF1_open_price_target
hidden_size,0.26689745354598216,GRU_LB60_LF1_open_price_target
epochs,0.2602172269110016,GRU_LB60_LF1_open_price_target
dropout,0.1157616304212104,GRU_LB60_LF1_open_price_target
learning_rate,0.06440815386340054,GRU_LB60_LF1_open_price_target
batch_size,0.021942782935570487,GRU_LB60_LF1_open_price_target
epochs,0.4760036278638695,GRU_LB7_LF1_behavior
dropout,0.266600811208589,GRU_LB7_LF1_behavior
hidden_size,0.154458548533168,GRU_LB7_LF1_behavior
batch_size,0.05512030011335333,GRU_LB7_LF1_behavior
learning_rate,0.045057041685576824,GRU_LB7_LF1_behavior
num_layers,0.002759670595443207,GRU_LB7_LF1_behavior
learning_rate,0.25730817142272805,GRU_LB7_LF1_close_price_target
hidden_size,0.23773917765171038,GRU_LB7_LF1_close_price_target
dropout,0.18384345136579555,GRU_LB7_LF1_close_price_target
epochs,0.16660091133315047,GRU_LB7_LF1_close_price_target
batch_size,0.15354624695079372,GRU_LB7_LF1_close_price_target
num_layers,0.0009620412758218461,GRU_LB7_LF1_close_price_target
learning_rate,0.4099510349187856,GRU_LB7_LF1_open_price_target
hidden_size,0.3375687269685738,GRU_LB7_LF1_open_price_target
epochs,0.10974939789742406,GRU_LB7_LF1_open_price_target
dropout,0.06867392437360406,GRU_LB7_LF1_open_price_target
batch_size,0.061372713431989336,GRU_LB7_LF1_open_price_target
num_layers,0.012684202409623225,GRU_LB7_LF1_open_price_target
dropout,0.31051958013602454,LSTM_LB15_LF1_behavior
learning_rate,0.25990507968805926,LSTM_LB15_LF1_behavior
hidden_size,0.18218833611304805,LSTM_LB15_LF1_behavior
epochs,0.13322263205656745,LSTM_LB15_LF1_behavior
num_layers,0.08593160313456247,LSTM_LB15_LF1_behavior
batch_size,0.028232768871738218,LSTM_LB15_LF1_behavior
learning_rate,0.5692273270717586,LSTM_LB15_LF1_close_price_target
epochs,0.2219580208275426,LSTM_LB15_LF1_close_price_target
batch_size,0.12342608311327623,LSTM_LB15_LF1_close_price_target
hidden_size,0.05295375657893515,LSTM_LB15_LF1_close_price_target
dropout,0.03231028892078061,LSTM_LB15_LF1_close_price_target
num_layers,0.00012452348770686955,LSTM_LB15_LF1_close_price_target
learning_rate,0.5062848774936034,LSTM_LB15_LF1_open_price_target
dropout,0.23883932982766015,LSTM_LB15_LF1_open_price_target
batch_size,0.08656417651311266,LSTM_LB15_LF1_open_price_target
epochs,0.07987087688453519,LSTM_LB15_LF1_open_price_target
hidden_size,0.07231011813981478,LSTM_LB15_LF1_open_price_target
num_layers,0.016130621141273806,LSTM_LB15_LF1_open_price_target
dropout,0.23934900789564664,LSTM_LB30_LF1_behavior
epochs,0.2297777386643811,LSTM_LB30_LF1_behavior
learning_rate,0.14455076049997428,LSTM_LB30_LF1_behavior
batch_size,0.13900462587027054,LSTM_LB30_LF1_behavior
num_layers,0.12480286749462141,LSTM_LB30_LF1_behavior
hidden_size,0.12251499957510605,LSTM_LB30_LF1_behavior
epochs,0.3297544784389503,LSTM_LB30_LF1_open_price_target
dropout,0.2760070127461961,LSTM_LB30_LF1_open_price_target
learning_rate,0.17265485852088328,LSTM_LB30_LF1_open_price_target
hidden_size,0.16682584961717017,LSTM_LB30_LF1_open_price_target
num_layers,0.03499358230709859,LSTM_LB30_LF1_open_price_target
batch_size,0.019764218369701606,LSTM_LB30_LF1_open_price_target
dropout,0.5431500783254816,LSTM_LB45_LF1_behavior
epochs,0.17322677174515197,LSTM_LB45_LF1_behavior
hidden_size,0.13279668199465444,LSTM_LB45_LF1_behavior
learning_rate,0.07795693160410573,LSTM_LB45_LF1_behavior
num_layers,0.039084946551147776,LSTM_LB45_LF1_behavior
batch_size,0.03378458977945865,LSTM_LB45_LF1_behavior
dropout,0.29560295739751374,LSTM_LB45_LF1_close_price_target
hidden_size,0.2168784195964385,LSTM_LB45_LF1_close_price_target
learning_rate,0.20111574578128172,LSTM_LB45_LF1_close_price_target
epochs,0.12980070534530858,LSTM_LB45_LF1_close_price_target
batch_size,0.12563249970615462,LSTM_LB45_LF1_close_price_target
num_layers,0.03096967217330281,LSTM_LB45_LF1_close_price_target
hidden_size,0.47893809455708475,LSTM_LB45_LF1_open_price_target
batch_size,0.2296742212612904,LSTM_LB45_LF1_open_price_target
epochs,0.134614114806157,LSTM_LB45_LF1_open_price_target
